1.350000	12.620000	Sound 01
12.640000	12.830000	Sound 02
12.860000	12.960000	Sound 03
13.000000	18.470000	Sound 04
18.490000	19.930000	Sound 05
19.950000	19.970000	Sound 06
19.990000	27.140000	Sound 07
27.160000	28.210000	Sound 08
28.230000	31.330000	Sound 09
31.350000	33.560000	Sound 10
33.590000	33.600000	Sound 11
33.630000	33.650000	Sound 12
33.670000	33.990000	Sound 13
34.020000	34.520000	Sound 14
34.540000	34.550000	Sound 15
34.620000	35.620000	Sound 16
35.640000	36.390000	Sound 17
36.410000	36.420000	Sound 18
36.470000	36.520000	Sound 19
36.540000	36.550000	Sound 20
36.570000	36.590000	Sound 21
36.610000	46.200000	Sound 22
46.220000	46.550000	Sound 23
46.570000	46.590000	Sound 24
46.650000	51.640000	Sound 25
51.660000	52.110000	Sound 26
52.130000	52.390000	Sound 27
52.410000	52.640000	Sound 28
52.670000	52.690000	Sound 29
52.720000	53.000000	Sound 30
53.020000	55.030000	Sound 31
55.050000	55.570000	Sound 32
55.590000	55.900000	Sound 33
55.920000	55.930000	Sound 34
55.970000	55.980000	Sound 35
56.010000	56.350000	Sound 36
56.370000	57.020000	Sound 37
57.040000	57.450000	Sound 38
57.470000	57.560000	Sound 39
57.600000	57.610000	Sound 40
57.630000	57.670000	Sound 41
57.700000	57.710000	Sound 42
57.730000	59.820000	Sound 43
59.840000	60.180000	Sound 44
60.200000	60.210000	Sound 45
60.230000	62.160000	Sound 46
62.280000	62.290000	Sound 47
62.320000	62.380000	Sound 48
62.400000	62.410000	Sound 49
62.430000	63.060000	Sound 50
63.120000	66.150000	Sound 51
66.180000	67.000000	Sound 52
67.020000	67.320000	Sound 53
67.340000	67.360000	Sound 54
67.380000	68.080000	Sound 55
68.100000	76.560000	Sound 56
76.590000	76.600000	Sound 57
