0.020000	0.030000	Sound 01
1.020000	1.040000	Sound 02
1.060000	5.450000	Sound 03
5.470000	6.180000	Sound 04
6.220000	6.230000	Sound 05
6.250000	8.520000	Sound 06
8.790000	10.190000	Sound 07
10.220000	12.260000	Sound 08
12.280000	13.210000	Sound 09
13.240000	13.250000	Sound 10
13.280000	14.390000	Sound 11
14.410000	16.250000	Sound 12
16.270000	18.990000	Sound 13
19.010000	19.030000	Sound 14
19.060000	20.150000	Sound 15
20.170000	20.190000	Sound 16
20.210000	21.760000	Sound 17
21.790000	22.500000	Sound 18
22.520000	22.680000	Sound 19
22.700000	23.620000	Sound 20
23.650000	23.660000	Sound 21
23.700000	23.710000	Sound 22
23.730000	23.900000	Sound 23
23.920000	26.640000	Sound 24
26.770000	26.790000	Sound 25
26.810000	27.130000	Sound 26
27.160000	27.170000	Sound 27
27.200000	27.210000	Sound 28
27.240000	27.310000	Sound 29
27.330000	28.540000	Sound 30
28.560000	30.760000	Sound 31
30.790000	31.600000	Sound 32
31.660000	31.910000	Sound 33
32.010000	32.020000	Sound 34
32.040000	32.050000	Sound 35
32.070000	32.080000	Sound 36
32.140000	33.180000	Sound 37
33.200000	34.740000	Sound 38
34.770000	35.130000	Sound 39
35.150000	35.180000	Sound 40
35.220000	36.410000	Sound 41
36.440000	36.450000	Sound 42
36.520000	39.820000	Sound 43
39.860000	41.350000	Sound 44
41.380000	41.600000	Sound 45
41.620000	41.630000	Sound 46
41.690000	43.060000	Sound 47
43.090000	43.960000	Sound 48
43.990000	44.000000	Sound 49
44.030000	45.350000	Sound 50
45.370000	45.690000	Sound 51
45.760000	45.880000	Sound 52
45.900000	50.330000	Sound 53
50.360000	52.530000	Sound 54
52.550000	54.830000	Sound 55
54.890000	54.910000	Sound 56
54.930000	54.960000	Sound 57
55.140000	55.160000	Sound 58
55.180000	58.130000	Sound 59
58.170000	58.210000	Sound 60
58.230000	58.890000	Sound 61
59.030000	59.040000	Sound 62
59.070000	59.120000	Sound 63
59.160000	59.170000	Sound 64
59.200000	59.760000	Sound 65
59.800000	60.010000	Sound 66
60.150000	60.230000	Sound 67
60.250000	63.840000	Sound 68
63.870000	64.870000	Sound 69
64.890000	68.050000	Sound 70
