0.130000	0.180000	Sound 01
0.210000	2.600000	Sound 02
2.630000	21.960000	Sound 03
22.110000	23.210000	Sound 04
23.230000	23.540000	Sound 05
23.590000	28.310000	Sound 06
28.340000	30.040000	Sound 07
30.090000	30.100000	Sound 08
30.120000	30.990000	Sound 09
31.020000	31.080000	Sound 10
31.100000	31.130000	Sound 11
31.150000	37.490000	Sound 12
37.510000	37.820000	Sound 13
37.860000	39.010000	Sound 14
39.030000	39.800000	Sound 15
39.830000	41.220000	Sound 16
41.430000	42.590000	Sound 17
42.610000	43.910000	Sound 18
43.940000	45.630000	Sound 19
45.650000	45.860000	Sound 20
45.880000	47.340000	Sound 21
47.380000	50.840000	Sound 22
50.950000	56.870000	Sound 23
56.900000	63.600000	Sound 24
63.620000	68.360000	Sound 25
68.410000	68.460000	Sound 26
68.480000	69.660000	Sound 27
69.680000	70.240000	Sound 28
70.290000	70.360000	Sound 29
70.380000	71.150000	Sound 30
71.170000	71.770000	Sound 31
71.790000	72.810000	Sound 32
72.830000	73.100000	Sound 33
73.210000	73.220000	Sound 34
73.260000	73.270000	Sound 35
73.290000	75.870000	Sound 36
75.970000	75.990000	Sound 37
76.060000	76.590000	Sound 38
76.690000	76.710000	Sound 39
76.730000	77.610000	Sound 40
77.630000	77.650000	Sound 41
77.690000	80.660000	Sound 42
80.700000	81.650000	Sound 43
81.670000	83.220000	Sound 44
83.260000	83.590000	Sound 45
83.610000	87.130000	Sound 46
87.150000	112.410000	Sound 47
112.440000	132.960000	Sound 48
